"","Size..LOC.","API Misuse","Async / Event","Logic Error","Missing Case","Missing Feature","Performance Issue","Runtime Exception","Test Fault","Tooling / Config","Type Error","UI Bug","Error Handling","Total_Bugs"
"Size..LOC.",1,0.361632769670035,0.232106095216433,0.48851569879659,0.0254726316236085,0.18092302793537,0.0467426352442803,0.248202091197609,-0.216606177628284,-0.0579091557843982,-0.217769808735893,0.184777048003135,0.516529198858111,0.137270307258715
"API Misuse",0.361632769670035,1,0.295526387536442,0.294516150064468,0.00909801316032599,0.244902232607413,-0.224686624376793,-0.0941905039827569,0.210129996494565,-0.32982803540383,0.103396491440261,0.31638712341938,0.489308774623015,0.457072929247185
"Async / Event",0.232106095216433,0.295526387536442,1,0.0727579180916064,0.170028454043049,0.44984316006705,-0.216057724562007,-0.16535979301716,0.471550587318061,-0.224400736850954,0.2131074412389,0.00228735355187344,0.498788709735085,0.105062268840222
"Logic Error",0.48851569879659,0.294516150064468,0.0727579180916064,1,0.248875608755905,0.161599448741243,0.1161746462404,0.435955552901004,-0.116140876939617,-0.421289355322339,0.0353919274942084,0.100747278603311,0.185283432636085,0.0752621420583325
"Missing Case",0.0254726316236085,0.00909801316032599,0.170028454043049,0.248875608755905,1,0.618417047797954,0.271103651456537,0.202842397362925,0.376714074235997,-0.318470003909531,-0.199090215146349,-0.107690615633325,0.210715583093204,0.0187991181164559
"Missing Feature",0.18092302793537,0.244902232607413,0.44984316006705,0.161599448741243,0.618417047797954,1,0.0519863633164954,0.100589540848002,0.51129403694243,0.086654776861246,-0.237615269287696,-0.439110034987867,0.509448970040021,0.488125173376738
"Performance Issue",0.0467426352442803,-0.224686624376793,-0.216057724562007,0.1161746462404,0.271103651456537,0.0519863633164954,1,0.657425122890654,-0.197231078646762,0.201490402073194,-0.346455270815343,-0.304499563751312,-0.130564373044847,-0.0360887974640511
"Runtime Exception",0.248202091197609,-0.0941905039827569,-0.16535979301716,0.435955552901004,0.202842397362925,0.100589540848002,0.657425122890654,1,-0.378188609508511,0.0809258810774319,-0.319924692005059,-0.189716012340488,-0.112660142429822,-0.160889781793381
"Test Fault",-0.216606177628284,0.210129996494565,0.471550587318061,-0.116140876939617,0.376714074235997,0.51129403694243,-0.197231078646762,-0.378188609508511,1,-0.379343253900178,0.156818361820996,-0.100606157777018,0.429026630473745,0.404826720644899
"Tooling / Config",-0.0579091557843982,-0.32982803540383,-0.224400736850954,-0.421289355322339,-0.318470003909531,0.086654776861246,0.201490402073194,0.0809258810774319,-0.379343253900178,1,-0.453317879819435,-0.648513963750199,-0.282336659254987,0.169153527200411
"Type Error",-0.217769808735893,0.103396491440261,0.2131074412389,0.0353919274942084,-0.199090215146349,-0.237615269287696,-0.346455270815343,-0.319924692005059,0.156818361820996,-0.453317879819435,1,0.488775398212039,-0.201878854657428,-0.389991473012225
"UI Bug",0.184777048003135,0.31638712341938,0.00228735355187344,0.100747278603311,-0.107690615633325,-0.439110034987867,-0.304499563751312,-0.189716012340488,-0.100606157777018,-0.648513963750199,0.488775398212039,1,0.0204950727123946,-0.456231956159039
"Error Handling",0.516529198858111,0.489308774623015,0.498788709735085,0.185283432636085,0.210715583093204,0.509448970040021,-0.130564373044847,-0.112660142429822,0.429026630473745,-0.282336659254987,-0.201878854657428,0.0204950727123946,1,0.625634720439014
"Total_Bugs",0.137270307258715,0.457072929247185,0.105062268840222,0.0752621420583325,0.0187991181164559,0.488125173376738,-0.0360887974640511,-0.160889781793381,0.404826720644899,0.169153527200411,-0.389991473012225,-0.456231956159039,0.625634720439014,1
