"","Size..LOC.","Stars","Num.of.Files","Commits","Commits.in.12.Months..Oct.8.","Issues","Issues..closed.","Project_Age_Years","Num.of.Forks","Pull.Requests"
"Async / Event",0.330125723319585,-0.272953112018427,0.171517833903471,0.143853667144847,0.271108834234519,-0.374388390133384,-0.374388390133384,-0.22684616742072,-0.435249557002357,-0.119878055954039
"Error Handling",0.539451251793176,0.239756111908078,0.401130418000054,0.239756111908078,0.580947501931113,-0.142931528252893,-0.142931528252893,-0.281252362046015,0.00461069445977073,0.0783818058161025
"Missing Case",0.121613320338321,0.154285555653094,0.355764340094193,-0.0326722353147728,-0.0689747189978538,0.441075176749433,0.343058470805115,0.00726049673661619,0.221445150466794,0.108907451049243
"Missing Feature",0.247418845828926,-0.0520881780692476,0.286484979380862,-0.0409264256258374,0.158124826281644,-0.0167426286651153,-0.0669705146604612,-0.232536509237712,-0.055808762217051,0.0874337274733798
"Runtime Exception",0,-0.0907841299003204,-0.136176194850481,0,-0.272352389700961,0.272352389700961,0.317744454651121,0.408528584551442,0.181568259800641,0.181568259800641
"Tooling / Config",-0.120835520451821,-0.138870672758062,-0.164119885986801,-0.0360703046124837,0.182155038293043,-0.376934683200455,-0.293972982591743,-0.302990558744864,-0.122639035682445,0.0468913959962289
"Type Error",-0.26452053501643,-0.356921543823539,-0.237343767720221,-0.215602353883254,-0.44569898365782,-0.110518853671248,-0.22284949182891,-0.07428316394297,-0.355109759337125,-0.398592587011058
"Logic Error",0.573236854039622,0.118600728421991,0.318065589858975,0.522921393496959,0.0215637688039983,0.4240874531453,0.474402913687963,0.449245183416632,0.323456532059975,0.519327432029626
"API Misuse",0.302714987465708,-0.218026865972325,0.0828862465679914,0.111716245374249,0.207215616419979,-0.0522543728363424,-0.0270281238808668,0.00180187492539112,-0.268479363883277,-0.0180187492539112
"Test Fault",-0.188252639706559,-0.0995566844601995,-0.0144809722851199,-0.454340505445638,-0.273328351881639,-0.0470631599266398,-0.159290695136319,-0.139379358244279,-0.271518230345999,-0.428998803946678
"UI Bug",0.104224882552659,0.141961477959656,0.159931285296321,0.127585632090323,0.0449245183416632,0.310877666924309,0.267750129316313,0.249780321979647,0.138367516492323,0.0125788651356657
